publication_number,title,assignee,filing_date,publication_date,patent_type
WO-2024112393-A1,Real-time system for spoken natural stylistic conversations with large language models ,"Microsoft Technology Licensing, Llc",2022-11-21,2024-05-30,A1
US-2024073223-A1,Cloud attack detection via api access analysis ,"Microsoft Technology Licensing, Llc",2022-08-26,2024-02-29,A1
WO-2025136529-A1,Declarative code-less workflow using llm ,"Microsoft Technology Licensing, Llc",2023-12-18,2025-06-26,A1
US-2024152624-A1,Vulnerability reduction for syntactically incomplete code ,"Microsoft Technology Licensing, Llc",2022-11-08,2024-05-09,A1
US-2025104689-A1,Intelligent system and method of providing speech assistance during a communication session ,"Microsoft Technology Licensing, Llc",2023-09-21,2025-03-27,A1
WO-2025136527-A1,Adaptive query routing for natural language generators based on query difficulty ,"Microsoft Technology Licensing, Llc",2023-12-21,2025-06-26,A1
US-2024370661-A1,Generating summary prompts with visual and audio insights and using summary prompts to obtain multimedia content summaries ,"Microsoft Technology Licensing, Llc",2023-05-01,2024-11-07,A1
US-2025117605-A1,Content assistance processes for foundation model integrations ,"Microsoft Technology Licensing, Llc",2023-10-10,2025-04-10,A1
US-2025111167-A1,Dynamically determined language model skills for responding to a prompt ,"Microsoft Technology Licensing, Llc",2023-10-03,2025-04-03,A1
US-2024193196-A1,Training a learning-to-rank model using a linear difference vector ,"Microsoft Technology Licensing, Llc",2022-12-13,2024-06-13,A1
EP-4500398-A1,Sparsity masking methods for neural network training ,"Microsoft Technology Licensing, LLC",2022-03-29,2025-02-05,A1
WO-2023196081-A1,Detecting an algorithmic attack against a hosted ai system based on inputs and outputs of the hosted ai system ,"Microsoft Technology Licensing, Llc",2022-04-06,2023-10-12,A1
US-2025139472-A1,Machine learning model explanation builder ,"Microsoft Technology Licensing, Llc",2023-10-30,2025-05-01,A1
EP-4710216-A1,Query translation for databases storing semantic data ,"Microsoft Technology Licensing, LLC",2023-05-12,2026-03-18,A1
US-2024427900-A1,Evaluation of a privacy incident risk in computer code ,"Microsoft Technology Licensing, Llc",2023-06-23,2024-12-26,A1
US-2024403974-A1,Social media content creator ,"Microsoft Technology Licensing, Llc",2023-06-05,2024-12-05,A1
US-2024184789-A1,Creating a query template optimized for both recall and precision ,"Microsoft Technology Licensing, Llc",2022-12-06,2024-06-06,A1
US-2024303424-A1,Llm integrations with spreadsheet environments ,"Microsoft Technology Licensing, Llc",2023-03-09,2024-09-12,A1
EP-4677470-A1,Chain of thought reasoning for llm integrations in spreadsheet environments ,"Microsoft Technology Licensing, LLC",2023-03-10,2026-01-14,A1
US-12499306-B2,Prompt chaining for LLM integrations in spreadsheet environments ,"Microsoft Technology Licensing, Llc",2023-03-10,2025-12-16,B2
US-2025373458-A1,Artificial intelligence driven leading and templatizing of ideation session ,"Microsoft Technology Licensing, Llc",2024-05-28,2025-12-04,A1
CN-119053946-A,Decoding activity task (CAT) evaluation for source code generator ,Samsung,2022-04-21,2024-11-29,A
US-2025217166-A1,User engagement surfaced through an application programming interface (api) ,"Microsoft Technology Licensing, Llc",2022-05-05,2025-07-03,A1
US-2025274365-A1,Resource anomaly detection ,"Microsoft Technology Licensing, Llc",2022-12-30,2025-08-28,A1
US-12499239-B2,Tree-based security analysis and threat hunting aided by large language models ,"Microsoft Technology Licensing, Llc",2023-06-14,2025-12-16,B2
US-2023385769-A1,Notifying content expert of content created by user outside collaboration circle of content expert ,"Microsoft Technology Licensing, Llc",2022-05-25,2023-11-30,A1
US-2025077870-A1,System and Method for Generating a Trained Neural Network from a Pretrained Machine Learning Model ,"Microsoft Technology Licensing, Llc",2023-08-30,2025-03-06,A1
US-2025088517-A1,Correlating security alerts using large language models ,"Microsoft Technology Licensing, Llc",2023-09-13,2025-03-13,A1
EP-4582968-A1,"Efficient generation of application programming interface calls using language models, data types, and enriched schema ","Microsoft Technology Licensing, LLC",2024-01-04,2025-07-09,A1
US-2026087390-A1,Quantum-capacitance simulation using gaussian-subspace aggregation ,"Microsoft Technology Licensing, Llc",2022-08-01,2026-03-26,A1
US-2023244916-A1,Bayesian neural networks for ransomware incident detection ,"Microsoft Technology Licensing, Llc",2022-01-31,2023-08-03,A1
US-12192543-B2,Video frame action detection using gated history ,"Microsoft Technology Licensing, Llc.",2022-06-03,2025-01-07,B2
EP-4463791-A1,Smart tabular paste from a clipboard buffer ,"Microsoft Technology Licensing, LLC",2022-01-14,2024-11-20,A1
EP-4494135-A1,"Low-resource, multi-lingual transformer models ","Microsoft Technology Licensing, LLC",2022-03-18,2025-01-22,A1
WO-2024253871-A1,Computer memory access for machine learning models ,"Microsoft Technology Licensing, Llc",2023-06-09,2024-12-12,A1
US-2025307238-A1,Query language query generation and repair ,"Microsoft Technology Licensing, Llc",2024-03-29,2025-10-02,A1
US-2024086761-A1,Neuroergonomic api service for software applications ,"Microsoft Technology Licensing, Llc",2022-09-13,2024-03-14,A1
US-2025103858-A1,Passing complex data objects in large language model processes ,"Microsoft Technology Licensing, Llc",2023-09-27,2025-03-27,A1
US-2025272541-A1,Cross task large language model fine-tuning ,"Microsoft Technology Licensing, Llc",2024-02-23,2025-08-28,A1
WO-2024258594-A1,Voice context-based decoder correction ,"Microsoft Technology Licensing, Llc",2023-06-14,2024-12-19,A1
WO-2023235056-A1,Request routing system using reinforcement learning ,"Microsoft Technology Licensing, Llc",2022-06-03,2023-12-07,A1
WO-2024182161-A1,Training and using a model for content moderation of multimodal media ,"Microsoft Technology Licensing, Llc",2023-02-28,2024-09-06,A1
WO-2024228833-A1,Intelligent system and method of optimizing natural language processing models ,"Microsoft Technology Licensing, Llc",2023-05-03,2024-11-07,A1
WO-2025207207-A1,Automated root cause analysis of anomalies ,"Microsoft Technology Licensing, Llc",2024-03-27,2025-10-02,A1
US-2025087231-A1,Speech dialog system and reciprocity enforced neural relative transfer function estimator ,"Microsoft Technology Licensing, Llc",2022-06-30,2025-03-13,A1
US-2025126184-A1,Application programming interface proxy with behavior simulation ,"Microsoft Technology Licensing, Llc",2023-10-17,2025-04-17,A1
US-2025317397-A1,Weighted random early back-to-sender notification ,"Microsoft Technology Licensing, Llc",2023-08-06,2025-10-09,A1
WO-2024226268-A1,Entropy based key-phrase extraction ,"Microsoft Technology Licensing, Llc",2023-04-25,2024-10-31,A1
WO-2025024089-A1,Thermoelectric coupler for selective heat transfer between coolant loops in a device cooling system ,"Microsoft Technology Licensing, Llc",2023-07-24,2025-01-30,A1
WO-2025075780-A1,Automatic binary code understanding ,"Microsoft Technology Licensing, Llc",2023-10-06,2025-04-10,A1
WO-2025178682-A1,Ai-based visual content collage generation ,"Microsoft Technology Licensing, Llc",2024-02-20,2025-08-28,A1
US-2023341974-A1,Plural touch-screen sensor to pen synchronization ,"Microsoft Technology Licensing, Llc",2022-04-21,2023-10-26,A1
WO-2023196039-A1,Systems and methods for sparse matrix multiplication ,"Microsoft Technology Licensing, Llc",2022-04-04,2023-10-12,A1
EP-4466716-A1,Estimating the effect of an action using a machine learning model ,"Microsoft Technology Licensing, LLC",2022-01-20,2024-11-27,A1
US-2023308505-A1,Multi-device gaze tracking ,"Microsoft Technology Licensing, Llc",2022-03-22,2023-09-28,A1
US-2025245122-A1,Methods and systems for processing analysis tool alerts and for generating prompts and fix suggestions for the alerts using ai ,"Microsoft Technology Licensing, Llc",2024-01-31,2025-07-31,A1
WO-2024263433-A1,Techniques for inferring context for an online meeting ,"Microsoft Technology Licensing, Llc",2023-06-20,2024-12-26,A1
EP-4508567-A1,Latency-aware neural network pruning and applications thereof ,"Microsoft Technology Licensing, LLC",2022-04-15,2025-02-19,A1
US-2024403568-A1,System and method of providing context-aware authoring assistance ,"Microsoft Technology Licensing, Llc",2023-06-02,2024-12-05,A1
WO-2024044038-A1,Software development context history operations ,"Microsoft Technology Licensing, Llc",2022-08-24,2024-02-29,A1
US-2024394258-A1,Materials information database including machine learning models ,"Microsoft Technology Licensing, Llc",2023-05-22,2024-11-28,A1
US-2025080396-A1,Anomalous metrics mitigation proposal system in a cloud computing system ,"Microsoft Technology Licensing, Llc",2023-08-31,2025-03-06,A1
US-2025358492-A1,Ai-based video summary generation for content consumption ,"Microsoft Technology Licensing, Llc",2024-05-17,2025-11-20,A1
US-2025272317-A1,Configuring a large language model to convert natural language queries to structured queries ,"Microsoft Technology Licensing, Llc",2024-02-28,2025-08-28,A1
US-2024365018-A1,Systems and methods for selectively constraining and implementing cross talk templates for dark current images ,"Microsoft Technology Licensing, Llc",2023-04-25,2024-10-31,A1
KR-20250023369-A,Signal encoding using latent feature prediction ,Google,2022-06-14,2025-02-18,A
WO-2024091361-A1,Generation of interactive utterances of code tasks ,"Microsoft Technology Licensing, Llc",2022-10-28,2024-05-02,A1
WO-2024025672-A2,Fault correction for clifford circuits ,"Microsoft Technology Licensing, Llc",2022-07-29,2024-02-01,A2
EP-4548197-A1,Using a semantic tree of a compiler to execute a semantic code query against source code ,"Microsoft Technology Licensing, LLC",2022-06-28,2025-05-07,A1
WO-2024258608-A1,Comprehensive searches using semantic searches and lexical searches ,"Microsoft Technology Licensing, Llc",2023-06-16,2024-12-19,A1
WO-2024263611-A1,Generating grounded documents using large language models ,"Microsoft Technology Licensing, Llc",2023-06-20,2024-12-26,A1
US-2024202173-A1,Storing entries in and retrieving information from an embedding object memory ,"Microsoft Technology Licensing, Llc",2022-12-19,2024-06-20,A1
US-2024430216-A1,"Copilot for multi-user, multi-step collaborations ","Microsoft Technology Licensing, Llc",2023-06-22,2024-12-26,A1
WO-2024258810-A1,Comprehensive searches based on text summaries ,"Microsoft Technology Licensing, Llc",2023-06-16,2024-12-19,A1
WO-2025193306-A1,Detecting and mitigating prompt injection attacks on large language models ,"Microsoft Technology Licensing, Llc",2024-03-11,2025-09-18,A1
WO-2025080406-A1,Software development language model prompt engineering ,"Microsoft Technology Licensing, Llc",2023-10-13,2025-04-17,A1
EP-4589447-A1,System and method of privacy-preservation in caching of graph query execution plans ,"Microsoft Technology Licensing, LLC",2024-01-16,2025-07-23,A1
US-2023376409-A1,Code synthesis model evaluation harnessing real-world code repositories ,"Microsoft Technology Licensing, Llc",2022-05-17,2023-11-23,A1
CN-117689745-A,Generate images from text based on prompts ,Samsung,2022-09-02,2024-03-12,A
US-2024419756-A1,Neural partial differential equation solution refiner ,"Microsoft Technology Licensing, Llc",2023-06-19,2024-12-19,A1
US-2025150423-A1,Adaptable notifications for incoming messages ,"Microsoft Technology Licensing, Llc",2023-11-08,2025-05-08,A1
US-2025173555-A1,Generative ai-based statistical analysis assistant ,"Microsoft Technology Licensing, Llc",2023-11-27,2025-05-29,A1
US-2025181215-A1,Proactive prompting for content enhancement via foundation model integrations in applications ,"Microsoft Technology Licensing, Llc",2023-12-05,2025-06-05,A1
US-2025077844-A1,Scaling utilization of large language models ,"Microsoft Technology Licensing, Llc",2023-08-30,2025-03-06,A1
US-2025156642-A1,Semantic text segmentation based on topic recognition ,"Microsoft Technology Licensing, Llc",2023-11-13,2025-05-15,A1
US-2025131089-A1,Security threat mitigation ,"Microsoft Technology Licensing, Llc",2023-10-20,2025-04-24,A1
US-12259921-B1,Systems and methods for clustering digital content ,"Microsoft Technology Licensing, Llc",2023-12-05,2025-03-25,B1
US-12361077-B2,Sharable privacy-oriented personalization model ,"Microsoft Technology Licensing, Llc",2022-06-21,2025-07-15,B2
US-12518447-B2,Automated generation of data visualizations and infographics using large language models and diffusion models ,"Microsoft Technology Licensing, Llc",2022-12-01,2026-01-06,B2
US-2025077792-A1,Fine-tuning large language models for domain-specific environments ,"Microsoft Technology Licensing, Llc",2023-08-31,2025-03-06,A1
US-2025156198-A1,Personalized data processing experience and canvas interfaces ,"Microsoft Technology Licensing, Llc",2023-11-14,2025-05-15,A1
WO-2025034376-A1,Detecting a quality-related faulty component and predicting uncorrectable errors incurred by a component using machine learning ,"Microsoft Technology Licensing, Llc",2023-08-09,2025-02-13,A1
US-2023386642-A1,Computer-based well being assessment and mitigation ,"Microsoft Technology Licensing, Llc",2022-05-25,2023-11-30,A1
WO-2026005852-A1,Data analysis pipeline engine in a data intelligence system ,"Microsoft Technology Licensing, Llc",2024-06-29,2026-01-02,A1
US-2025298952-A1,Scalable generative ai-based tool for formal verification ,"Microsoft Technology Licensing, Llc",2024-03-20,2025-09-25,A1
US-2025307420-A1,Triggering a security action based on an ai-generated code package recommendation ,"Microsoft Technology Licensing, Llc",2024-03-31,2025-10-02,A1
US-2023419663-A1,Systems and Methods for Video Genre Classification ,"Microsoft Technology Licensing, Llc",2022-06-27,2023-12-28,A1
WO-2025049010-A1,Distribution encoding for quantizing model weights ,"Microsoft Technology Licensing, Llc",2023-08-28,2025-03-06,A1
WO-2024233234-A1,Auto-generated collaborative components for collaboration object ,"Microsoft Technology Licensing, Llc",2023-05-08,2024-11-14,A1
WO-2025024124-A1,Privacy preserving multi-agent decision making ,"Microsoft Technology Licensing, Llc",2023-07-27,2025-01-30,A1
US-2023381664-A1,Importing agent personalization data to instantiate a personalized agent in a user game session ,"Microsoft Technology Licensing, Llc",2022-05-24,2023-11-30,A1
US-12573382-B2,Adversarial language imitation with constrained exemplars ,"Microsoft Technology Licensing, Llc",2022-02-17,2026-03-10,B2
WO-2025024088-A1,Compressing information provided to a machine-trained generative model ,"Microsoft Technology Licensing, Llc",2023-07-21,2025-01-30,A1
WO-2024151398-A1,Virtual pose rendering using neural radiance model ,"Microsoft Technology Licensing, Llc",2023-01-12,2024-07-18,A1
WO-2025101317-A1,Generative ai-driven multi-source data query system ,"Microsoft Technology Licensing, Llc",2023-11-09,2025-05-15,A1
CN-115638813-A,"Equipment state monitoring method and device, electronic equipment and storage medium ",Samsung,2022-10-24,2023-01-24,A
US-12585943-B2,Transfer learning for seniority modeling label shortage ,"Microsoft Technology Licensing, Llc",2022-10-07,2026-03-24,B2
US-2025371498-A1,Multi-agent collaboration ,"Microsoft Technology Licensing, Llc",2024-05-31,2025-12-04,A1
WO-2024258601-A1,Context-based decoder correction ,"Microsoft Technology Licensing, Llc",2023-06-14,2024-12-19,A1
US-2023401202-A1,Graphic search bar with responsive results ,"Microsoft Technology Licensing, Llc",2022-06-13,2023-12-14,A1
WO-2024205908-A1,Explainable cluster-based collaborative filtering ,"Microsoft Technology Licensing, Llc",2023-03-28,2024-10-03,A1
WO-2024249201-A1,Tone mapping via dynamic histogram matching ,"Microsoft Technology Licensing, Llc",2023-05-30,2024-12-05,A1
US-12505137-B1,Digital content generation with in-prompt hallucination management for conversational agent ,"Microsoft Technology Licensing, Llc",2024-06-21,2025-12-23,B1
CN-120936997-A,System and method for generating new content for a presentation prepared in a presentation application ,Google,2023-05-11,2025-11-11,A
US-2024427928-A1,Data security for machine learning systems ,"Microsoft Technology Licensing, Llc",2023-06-21,2024-12-26,A1
EP-4657313-A1,Dynamic agents with real-time alignment ,"Microsoft Technology Licensing, LLC",2024-05-30,2025-12-03,A1
US-2025278573-A1,Visual chain-of-thought reasoning for multimodal language models ,"Microsoft Technology Licensing, Llc",2024-02-29,2025-09-04,A1
TW-202446002-A,Decoding metadata encoded in error correction codes ,Samsung,2023-05-12,2024-11-16,A
US-12206949-B2,Synchronized playback of data visualizations for data sources related to an event ,"Microsoft Technology Licensing, Llc",2023-04-03,2025-01-21,B2
US-2023419119-A1,Generating training data using sampled values ,"Microsoft Technology Licensing, Llc",2022-06-24,2023-12-28,A1
US-2025291773-A1,System and Method for Flowsheet Population ,"Microsoft Technology Licensing, Llc",2024-03-12,2025-09-18,A1
US-2025053790-A1,Causal framework for real-world evidence generation with language models ,"Microsoft Technology Licensing, Llc",2023-08-09,2025-02-13,A1
US-2025124622-A1,Pipeline for generating editable graphic designs from natural language prompts ,"Microsoft Technology Licensing, Llc",2023-10-11,2025-04-17,A1
US-12271687-B2,Table column operations for spreadsheets ,"Microsoft Technology Licensing, Llc",2022-04-07,2025-04-08,B2
EP-4702460-A1,Reduced latency tensor transposition without redundant buffer ,"Microsoft Technology Licensing, LLC",2023-04-27,2026-03-04,A1
US-2025355551-A1,Ai agent training interfaces and processes ,"Microsoft Technology Licensing, Llc",2024-05-15,2025-11-20,A1
US-2025322179-A1,In-context image translation system ,"Microsoft Technology Licensing, Llc",2024-04-10,2025-10-16,A1
EP-4699047-A1,Systems and methods for generating model architectures for task-specific models in accelerated transfer learning ,"Microsoft Technology Licensing, LLC",2023-04-19,2026-02-25,A1
US-2025238449-A1,Generating query outcomes using domain-based causal graphs and large generative models ,"Microsoft Technology Licensing, Llc",2024-01-24,2025-07-24,A1
US-2025217715-A1,Smart prompt generator for gpt models ,"Microsoft Technology Licensing, Llc",2023-12-29,2025-07-03,A1
US-2025111133-A1,Multi-granularity meeting summarization models ,"Chenguang Zhu, Yang Liu, Nanshan Zeng, Xuedong Huang, Ming Zhong, Yuantao WANG, Wei Xiong, Microsoft Technology Licensing, Llc",2022-03-25,2025-04-03,A1
US-2024411733-A1,Deployment of meta-model topologies and moderating graph generation ,"Microsoft Technology Licensing, Llc",2023-06-12,2024-12-12,A1
WO-2025144512-A1,Network device configured for workloads in software defined networks ,"Microsoft Technology Licensing, Llc",2023-12-29,2025-07-03,A1
US-2025278433-A1,Personalized input suggestions for query interfaces ,"Microsoft Technology Licensing, Llc",2024-03-04,2025-09-04,A1
CN-118803343-A,Video communication with changeable background ,Samsung,2023-04-14,2024-10-18,A
US-2025209266-A1,Evaluating typeahead suggestions using a large language model ,"Microsoft Technology Licensing, Llc",2023-12-22,2025-06-26,A1
EP-4587957-A1,Classification using a machine learning model trained with triplet loss ,"Microsoft Technology Licensing, LLC",2022-09-14,2025-07-23,A1
US-2025342513-A1,Ai-based customers and partners matching method and system ,"Microsoft Technology Licensing, Llc",2024-05-03,2025-11-06,A1
US-2026004579-A1,Determining outlier images based on category-based image relevance using embedding neural networks ,"Microsoft Technology Licensing, Llc",2024-06-26,2026-01-01,A1
US-2025200432-A1,Monitor class recommendation framework ,"Microsoft Technology Licensing, Llc",2023-12-14,2025-06-19,A1
US-2025355732-A1,Flexible analytics engine api using natural language ,"Microsoft Technology Licensing, Llc",2024-05-16,2025-11-20,A1
WO-2024228743-A1,Camera focus adjustment ,"Microsoft Technology Licensing, Llc",2023-05-02,2024-11-07,A1
CN-119790395-A,Transformer-based text encoder for passage retrieval ,Samsung,2022-10-05,2025-04-08,A
US-2024395392-A1,Flap prediction system based on volumetric data and foundation models ,"Microsoft Technology Licensing, Llc",2023-05-26,2024-11-28,A1
US-2025252359-A1,Machine learning development using language models ,"Microsoft Technology Licensing, Llc",2024-02-01,2025-08-07,A1
EP-4662584-A1,Programatically invokable conversational chatbot ,"Microsoft Technology Licensing, LLC",2023-02-08,2025-12-17,A1
US-2025148765-A1,Annotating images for training computer vision models ,"Microsoft Technology Licensing, Llc",2023-11-06,2025-05-08,A1
US-12580805-B2,Responsible incident prediction ,"Microsoft Technology Licensing, Llc",2024-01-25,2026-03-17,B2
US-2024338413-A1,Customized recommendation generation using enterprise data analysis and inference ,"Microsoft Technology Licensing, Llc",2023-04-10,2024-10-10,A1
US-11989414-B2,Method and apparatus for compressing and decompressing sparse data sets ,"Microsoft Technology Licensing, Llc",2022-03-04,2024-05-21,B2
WO-2024102267-A1,User interface mode control for suggestion review ,"Microsoft Technology Licensing, Llc",2022-11-09,2024-05-16,A1
US-2025209105-A1,Multi-tenant feed and insights platform ,"Microsoft Technology Licensing, Llc",2023-12-22,2025-06-26,A1
US-2024412011-A1,Uniform resource locator (url) embeddings for aligning parallel documents ,"Microsoft Technology Licensing, Llc",2023-06-09,2024-12-12,A1
US-2025124059-A1,Generating improved technical reports using machine-learning models and large generative models ,"Microsoft Technology Licensing, Llc",2023-10-17,2025-04-17,A1
US-2025117998-A1,Personalized Branding with Prompt Adaptation in Large Language Models and Visual Language Models ,"Microsoft Technology Licensing, Llc",2023-10-10,2025-04-10,A1
US-12346855-B2,Hot desk device and method for hybrid environment ,"Microsoft Technology Licensing, Llc",2022-06-16,2025-07-01,B2
US-2025148753-A1,Adaptive video compression using generative machine learning ,"Microsoft Technology Licensing, Llc",2023-11-07,2025-05-08,A1
CN-120435852-A,Extensible chatbot framework ,Apple,2023-01-31,2025-08-05,A
US-2025209389-A1,Ai-assisted schedule planner ,"Microsoft Technology Licensing, Llc",2023-12-22,2025-06-26,A1
WO-2025085237-A1,Knowledge graph extraction ,"Microsoft Technology Licensing, Llc",2023-10-20,2025-04-24,A1
US-2025191481-A1,Guidance function(s) for use of large language models within educational environments ,"Microsoft Technology Licensing, Llc",2023-12-12,2025-06-12,A1
EP-4659118-A1,Storing entries in and retrieving information from an object memory ,"Microsoft Technology Licensing, LLC",2023-01-31,2025-12-10,A1
WO-2024129369-A1,Graph-based video indexing to support querying with implicit relations ,"Microsoft Technology Licensing, Llc",2022-12-16,2024-06-20,A1
US-12536186-B1,Implementing vector index build and search using query operators ,"Microsoft Technology Licensing, Llc",2025-01-10,2026-01-27,B1
WO-2024177945-A1,Assigning workloads to physical resources in spatial architectures ,"Microsoft Technology Licensing, Llc",2023-02-24,2024-08-29,A1
US-2025110985-A1,Personalized ai assistance using ambient context ,"Microsoft Technology Licensing, Llc",2023-09-30,2025-04-03,A1
EP-4605861-A1,Synthetic classification datasets by optimal transport interpolation ,"Microsoft Technology Licensing, LLC",2022-10-20,2025-08-27,A1
US-2025014469-A1,Online learning platforms with enhanced prompt assignments ,"Microsoft Technology Licensing, Llc",2023-07-07,2025-01-09,A1
TW-202349245-A,Model customization of transformers for improved efficiency ,Apple,2022-05-19,2023-12-16,A
US-2025307318-A1,Intelligent search query interpretation and response ,"Microsoft Technology Licensing, Llc",2024-03-29,2025-10-02,A1
EP-4533328-A1,Automatic content generation ,"Microsoft Technology Licensing, LLC",2022-05-30,2025-04-09,A1
US-2025111289-A1,Utilizing large generative models to improve bad-quality and subjective data ,"Microsoft Technology Licensing, Llc",2023-09-29,2025-04-03,A1
US-12190537-B2,Repairing image depth values for an object with a light absorbing surface ,"Microsoft Technology Licensing, Llc",2022-04-04,2025-01-07,B2
US-2025037072-A1,Privacy preserving multi-agent decision making ,"Microsoft Technology Licensing, Llc",2023-07-27,2025-01-30,A1
US-2025005295-A1,Context-enhanced advanced feedback for draft messages ,"Microsoft Technology Licensing, Llc",2023-06-27,2025-01-02,A1
WO-2024085990-A1,Model capability extraction ,"Microsoft Technology Licensing, Llc",2022-10-20,2024-04-25,A1
US-2025094720-A1,Alt text validation system ,"Microsoft Technology Licensing, Llc",2023-09-15,2025-03-20,A1
US-2025156641-A1,Two-tower neural network for content-audience relationship prediction ,"Microsoft Technology Licensing, Llc",2023-11-10,2025-05-15,A1
US-11831696-B2,Optimizing richness in a remote meeting ,"Microsoft Technology Licensing, Llc",2022-02-02,2023-11-28,B2
TW-202422311-A,Transposing matrices based on a multi-level crossbar ,Apple,2022-10-20,2024-06-01,A
EP-4591216-A1,Modelling causation in machine learning ,"Microsoft Technology Licensing, LLC",2022-09-21,2025-07-30,A1
US-2024177331-A1,Computer-based posture assessment and correction ,"Microsoft Technology Licensing, Llc",2022-11-28,2024-05-30,A1
US-2025355847-A1,Memory management of ai agents ,"Microsoft Technology Licensing, Llc",2024-05-15,2025-11-20,A1
US-12148067-B2,Graphical user interface visual accessiblity violation detection and alerting ,"Microsoft Technology Licensing, Llc",2022-05-13,2024-11-19,B2
US-2025245132-A1,Code submission and review process evaluation system and method ,"Microsoft Technology Licensing, Llc",2024-01-29,2025-07-31,A1
US-2024412299-A1,Cohort prediction using viewer-viewee relationship information ,"Microsoft Technology Licensing, Llc",2023-06-09,2024-12-12,A1
US-2025155961-A1,On demand contextual support agent with spatial awareness ,"Microsoft Technology Licensing, Llc",2023-11-10,2025-05-15,A1
WO-2024186691-A1,Automated description generation for job posting ,"Microsoft Technology Licensing, Llc",2023-03-03,2024-09-12,A1
WO-2024063907-A1,Modelling causation in machine learning ,"Microsoft Technology Licensing, Llc",2022-09-21,2024-03-28,A1
EP-4591217-A1,Modelling causation in machine learning ,"Microsoft Technology Licensing, LLC",2022-09-21,2025-07-30,A1
WO-2024072582-A1,Intentional virtual user expressiveness ,"Microsoft Technology Licensing, Llc",2022-09-30,2024-04-04,A1
WO-2024005960-A1,Hierarchical ontology matching with self-supervision ,"Microsoft Technology Licensing, Llc",2022-06-29,2024-01-04,A1
US-2025168181-A1,Multi-layer anomaly detector ,"Microsoft Technology Licensing, Llc",2023-11-17,2025-05-22,A1
EP-4677485-A1,Dynamic concatenation of cnn tensor space in hardware ,"Microsoft Technology Licensing, LLC",2023-05-02,2026-01-14,A1
US-2025371282-A1,Cycle-consistent refinement of prompts provided to models ,"Microsoft Technology Licensing, Llc",2024-05-31,2025-12-04,A1
EP-4555447-A1,Controllable latent space discovery using multi-step inverse model ,"Microsoft Technology Licensing, LLC",2022-07-14,2025-05-21,A1
US-12423064-B2,Optimizing behavior and deployment of large language models ,"Microsoft Technology Licensing, Llc",2023-03-17,2025-09-23,B2
US-2025131362-A1,Automated data structures for goal management ,"Microsoft Technology Licensing, Llc",2023-10-24,2025-04-24,A1
WO-2024258759-A1,"Image processing to transition an image from a camera's perspective to a perspective of a user's eye in a hmd, based on the focal length of the camera ","Microsoft Technology Licensing, Llc",2023-06-15,2024-12-19,A1
US-12066637-B1,Adjusting IPD settings to match interocular distance in extended reality devices ,"Microsoft Technology Licensing, Llc",2023-06-15,2024-08-20,B1
US-2025080263-A1,Ultra-scalable high-performance computing (hpc) network using dense wavelength-division multiplexing (dwdm) ,"Microsoft Technology Licensing, Llc",2023-09-05,2025-03-06,A1
US-2025272091-A1,Source code history generation ,"Microsoft Technology Licensing, Llc",2024-02-28,2025-08-28,A1
US-2023367602-A1,Speculative execution of dataflow program nodes ,"Microsoft Technology Licensing, Llc",2022-05-13,2023-11-16,A1
US-2025272283-A1,Real time retrieval of content items for multi-category synthesis and personalized knowledge augmentation ,"Microsoft Technology Licensing, Llc",2024-02-28,2025-08-28,A1
US-2025191582-A1,Intent evaluation for smart assistant computing system ,"Microsoft Technology Licensing, Llc",2023-12-11,2025-06-12,A1
EP-4690670-A1,Enabling sso for embedded applications ,"Microsoft Technology Licensing, LLC",2023-03-31,2026-02-11,A1
US-12536024-B2,Cross-platform multi-transport remote code activation ,"Microsoft Technology Licensing, Llc",2022-03-28,2026-01-27,B2
US-12413696-B2,Techniques for correcting vertical angular image misalignment in extended reality systems ,"Microsoft Technology Licensing, Llc",2023-06-15,2025-09-09,B2
US-2024394018-A1,Dot Product Pipeline for Floating Point and Shared Exponent Floating Point Data Types ,"Microsoft Technology Licensing, Llc",2023-05-22,2024-11-28,A1
US-2025306912-A1,Improved firmware update with reduced impact for workflow applications ,"Microsoft Technology Licensing, Llc",2024-03-29,2025-10-02,A1
US-2025335286-A1,System and method for online machine issue resolution using live kernel dump file analysis ,"Microsoft Technology Licensing, Llc",2024-04-25,2025-10-30,A1
US-2025190257-A1,Distributed execution of ml-for-ran ,"Microsoft Technology Licensing, Llc",2023-12-11,2025-06-12,A1
WO-2025264281-A9,System and method for real-time optimization of retrieval augmented generation (rag) hyperparameters ,"Microsoft Technology Licensing, Llc",2024-06-17,2026-02-12,A9
WO-2024129186-A1,Method and apparatus for power efficient lossless compression and decompression ,"Microsoft Technology Licensing, Llc",2022-12-16,2024-06-20,A1
EP-4689952-A1,Method and system for predicting malicious entities ,"Microsoft Technology Licensing, LLC",2023-06-01,2026-02-11,A1
US-2024053996-A1,Bridging ui elements across multiple operating systems ,"Microsoft Technology Licensing, Llc",2022-08-15,2024-02-15,A1
CN-119256548-A,System and method for limiting video content ,"Nuance Communications,Inc., Microsoft Licensing Technology, LLC",2022-06-13,2025-01-03,A
US-2024202365-A1,System and Method for Generating Deidentified Content ,"Nuance Communications,Inc., Microsoft Licensing Technology, LLC",2022-12-16,2024-06-20,A1
